First_order_best_category,First_order_best_sub_catgeory,FirstOrderCity,FirstOrderCityTier,First_order_OrderPlatform,First_order_campaign_medium,First_order_campaign_source,First_order_campaign_term,First_order_referrer_type,OrderTiming,DiscountUsageSegment,WeekdayWeekendPreference,repeated_users_segment,total_users_segment
Beauty,Makeup,Ss-Lulu-Mall-Trivandrum,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,33,53
Apparel Men,Denim,Ssl-Aurangabad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,27,53
Apparel Women Western Wear,Denim,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,35,53
Indian Wear,Indianwear Dresses,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,13,53
Na,Na,Mumbai,Tier 1,mobile,cpc,Google,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekday Shopper,11,53
Na,Na,New Delhi,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekend Shopper,2,53
Na,Na,Delhi,Tier 1,desktop,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Afternoon Shopper,Extreme Discount User,Weekday Shopper,7,53
Beauty,Makeup,Ssl-Alpha Ahmedabad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,47,53
Clothing,Shirts,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekend Shopper,10,53
Apparel Women Western Wear,Innerwear,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,27,52
Western Wear,Dresses & Jumpsuits,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,Light Discount User,Weekday Shopper,48,52
Beauty,Makeup,Ssl-R City Ghatkopar,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,34,52
Apparel Men,Denim,Ssl-Aundh Pune,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,27,52
Item Category Unavailable,Item SubCategory Unavailable,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,Light Discount User,Weekday Shopper,42,52
Apparel Men,Casual,Ssl-South City Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekday Shopper,43,52
Na,Na,Chennai,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekday Shopper,4,52
Apparel Men,Casual,Ssl-Alpha Ahmedabad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,31,52
Beauty,Makeup,Ssl-Mani Sqaure Mall Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekday Shopper,43,52
Apparel Men,Sport,Ssl-Salt Lake Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekday Shopper,41,52
Beauty,Makeup,Ssl-Elgin Road Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,48,52
Beauty,Makeup,Ssl-Thane,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekday Shopper,43,52
Apparel Women Indian Wear,Indianwear,Ssl-Vasant Kunj,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,36,52
Beauty,Flb Elca,Mac-Blr Int Airport,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,9,52
Beauty,Makeup,Ssl-Thane,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,14,52
Footwear,Flip Flops,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,9,52
Watches,Analog,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,Light Discount User,Weekend Shopper,6,52
Westernwear,Dresses,Kolkata,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,34,52
Bags & Wallets,Handbags,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,7,52
Casual Wear,Jeans,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,9,52
Item Category Unavailable,Item SubCategory Unavailable,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,14,52
Apparel Men,Denim,Ssl-Gurgaon Metropolitan,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,24,52
Westernwear,Dresses,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,5,52
Beauty,Makeup,Ssl-Mani Sqaure Mall Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,41,52
Apparel Men,Denim,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekend Shopper,31,52
Indianwear,Ethnic Sets,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,23,52
Indian Wear,Indianwear Sets,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,Light Discount User,Weekday Shopper,20,52
Footwear,Sandals,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,22,52
Indian Wear,Kurtas,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,42,52
Footwear,Sports Shoes,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,Light Discount User,Weekday Shopper,3,52
Na,Na,Delhi,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekend Shopper,2,52
Item Category Unavailable,Item SubCategory Unavailable,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,38,52
Casual Wear,Jeans,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,11,52
Watches,Analog,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,Light Discount User,Weekday Shopper,9,51
Beauty,Makeup,Ssl-Pune-Wakad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,37,51
Indian Wear,Kurtas,Pimpri-Chinchwad,Tier Classification Not Available,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,17,51
Footwear,Sandals,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,5,51
Clothing,T-Shirts & Polos,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,14,51
Westernwear,Jeans & Jeggings,Kolkata,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,6,51
Apparel Men,Denim,Ssl-Aundh Pune,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,34,51
Na,Na,Delhi,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Night Owl,Extreme Discount User,Weekday Shopper,14,51
Apparel Men,Denim,Ssl-Salt Lake Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,25,51
Indianwear,Ethnic Sets,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,45,51
Footwear,Sports Shoes & Sneakers,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,31,51
Watches,Analog,Pimpri-Chinchwad,Tier Classification Not Available,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,Light Discount User,Weekday Shopper,9,51
Beauty,Fragrance,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekend Shopper,19,51
Apparel Men,Casual,Ssl-Gvk Hyderabad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,41,51
Item Category Unavailable,Item SubCategory Unavailable,Pimpri-Chinchwad,Tier Classification Not Available,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,14,51
Western Wear,Dresses & Jumpsuits,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekend Shopper,8,51
Apparel Men,Sport,Ssl-South City Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,29,51
Indianwear,"Kurtas, Kurtis & Tops",Kolkata,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,16,51
Clothing,T-Shirts & Polos,Kolkata,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,15,51
Beauty,Makeup,Ssl-Bhopal,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,33,51
Na,Na,Mumbai,Tier 1,desktop,campaign_medium Unavailable,Search,campaign_term Unavailable,search,Evening Shopper,Extreme Discount User,Weekday Shopper,13,51
Beauty,Fragrance,Ssl-Blr Int Airport,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,28,51
Apparel Men,Denim,Ssl-Wtp Jaipur,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,24,51
Indian & Fusion Wear,Kurtas & Kurtis,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekend Shopper,9,51
Apparel Women Indian Wear,Indianwear,Ssl-Malad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,41,51
Clothing,Jeans,Kolkata,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,21,51
Indianwear,"Kurtas, Kurtis & Tops",Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,44,50
Na,Na,New Delhi,Tier 1,mobile,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Night Owl,Extreme Discount User,Weekday Shopper,29,50
Apparel Men,Sport,Ssl-Cyberabad Inorbit,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,26,50
Watches,Watches,Ssl-Wtp Jaipur,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,31,50
Watches,Watches,Ssl-Alpha Ahmedabad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,44,50
Kids,Girls,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,41,50
Beauty,Flb Elca,Ss Beauty Ambience Gurugram,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,39,50
Indian & Fusion Wear,Kurtas Suits Sets,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,11,50
Western Wear,Dresses & Jumpsuits,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,21,50
Item Category Unavailable,Item SubCategory Unavailable,Kolkata,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,43,50
Indian & Fusion Wear,Kurtas & Kurtis,Pune,Tier 2,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,9,50
Footwear,Women,Ssl-Lucknow,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,31,50
Na,Na,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Night Owl,Extreme Discount User,Weekday Shopper,19,50
Indianwear,Ethnic Sets,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,17,50
Apparel Men,Formal,Ssl-South City Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,28,50
Watches,Analog Watches,Chennai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,2,50
Indian Wear,Indianwear Sets,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,22,50
Na,Na,New Delhi,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Afternoon Shopper,Extreme Discount User,Weekend Shopper,0,50
Beauty,Fragrance,Ssl-Vasant Kunj,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,37,50
Watches,Watches,Ssl - Sarath City Capital Mall,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,14,50
Indian Wear,Kurtas,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,11,50
Casual Wear,Casual Trousers & Chinos,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,33,50
Apparel Men,Denim,Ssl-Rohini,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,34,50
Indian Wear,Kurtas,Pimpri-Chinchwad,Tier Classification Not Available,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Afternoon Shopper,No Discount User,Weekday Shopper,10,50
Beauty,Fragrance,Ssl-Blr Int Airport,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,32,50
Beauty,Makeup,Ssl-R City Ghatkopar,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,15,50
Casual Wear,Shirts,New Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,14,50
Apparel Women Indian Wear,Indianwear,Ssl-Utkal Bhubaneshwar,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,30,50
Watches,Analog,Pimpri-Chinchwad,Tier Classification Not Available,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,9,50
Casual Wear,Shirts,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekend Shopper,6,50
Watches,Watches,Ssl-Andheri,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,39,50
Beauty,Makeup,Ssl-Gurgaon Metropolitan,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,24,50
Item Category Unavailable,Item SubCategory Unavailable,Pimpri-Chinchwad,Tier Classification Not Available,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,38,50
Bags & Wallets,Handbags,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,9,49
Na,Na,Mumbai,Tier 1,desktop,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Afternoon Shopper,No Discount User,Weekday Shopper,3,49
Apparel Women Western Wear,Casual,Ssl-Pune-Wakad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,40,49
Clothing,Shirts,Jaipur,Tier 2,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,10,49
Westernwear,Jeans & Jeggings,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,8,49
Item Category Unavailable,Item SubCategory Unavailable,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,19,49
Apparel Women Western Wear,Casual,Ssl-Salt Lake Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekday Shopper,34,49
Na,Na,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Referral,campaign_term Unavailable,referral,Afternoon Shopper,Extreme Discount User,Weekend Shopper,2,49
Beauty,Makeup,Ssl-Vasant Kunj,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekend Shopper,30,49
Beauty,Makeup,Ssl-Wtp Jaipur,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekday Shopper,37,49
Apparel Men,Denim,Ssl-Gvk Hyderabad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,31,49
Indianwear,"Kurtas, Kurtis & Tops",Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,41,49
Apparel Women Western Wear,Casual,Ssl-South City Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Heavy Discount User,Weekend Shopper,41,49
Apparel Men,Denim,Ssl-R City Ghatkopar,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,22,49
Watches,Analog Watches,New Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,Light Discount User,Weekday Shopper,25,49
Western Wear,Dresses & Jumpsuits,Mumbai,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekend Shopper,5,49
Casual Wear,Shirts,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,31,49
Watches,Analog Watches,New Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekend Shopper,0,49
Indian Wear,Kurtas,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,46,49
Footwear,Men,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,20,49
Indianwear,Ethnic Sets,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,25,49
Apparel Men,Denim,Ssl-Ludhiana,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,25,49
Westernwear,Tops,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,No Discount User,Weekday Shopper,8,49
Footwear,Sports Shoes & Sneakers,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,No Discount User,Weekday Shopper,9,49
Indian & Fusion Wear,Kurtas & Kurtis,City Unavailable,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,11,49
Footwear,Sandals,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,No Discount User,Weekday Shopper,32,49
Clothing,Shirts,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Night Owl,Light Discount User,Weekday Shopper,35,49
Watches,Watches,Ssl-Malad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Moderate Discount User,Weekend Shopper,31,49
Apparel Women Indian Wear,Indianwear,Ssl-Malad,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekend Shopper,38,49
Bags & Wallets,Handbags,Delhi,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Evening Shopper,Light Discount User,Weekday Shopper,7,49
Na,Na,Pune,Tier 2,desktop,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Afternoon Shopper,Extreme Discount User,Weekday Shopper,11,49
Beauty,Makeup,Ssl-Salt Lake Kolkata,Tier Classification Not Available,device unavailable,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Extreme Discount User,Weekday Shopper,42,49
Na,Na,City Unavailable,Tier Classification Not Available,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Extreme Discount User,Weekday Shopper,4,48
Watches,Analog Watches,Hyderabad,Tier 1,mobile,campaign_medium Unavailable,Direct,campaign_term Unavailable,referrer_type Unavailable,Morning Shopper,Light Discount User,Weekday Shopper,4,48
Na,Na,Bengaluru,Tier 1,mobile,campaign_medium Unavailable,Paid-Search,campaign_term Unavailable,paid-search,Evening Shopper,Light Discount User,Weekday Shopper,3,48
